"Video title","Video id","Video length (minutes)","Video created","Watch time (minutes)",Views,"Average view duration","Average percentage viewed","Card clicks","Cards shown","Clicks per card shown","Card teaser clicks","Card teasers shown","Clicks per card teaser shown","End screen elements shown","End screen element clicks","Clicks per end screen element shown","Estimated partner revenue usd","Estimated partner ad revenue usd","Estimated partner adsense revenue usd","Estimated partner doubleclick revenue usd","Partner transaction revenue usd",Transactions,"Partner revenue per transaction usd","Estimated monetized playbacks","Playback based cpm usd","Ad impressions","Cpm usd","Youtube ad revenue usd","Youtube red watch time (minutes)","Youtube red views","Youtube red partner revenue usd","Youtube red watch time (hours)","Annotation clicks","Clickable annotations shown","Annotation click through rate","Annotation closes","Closable annotations shown","Annotation close rate","Annotations shown",Likes,"Likes added","Likes removed",Dislikes,"Dislikes added","Dislikes removed",Shares,Comments,"Videos in playlists","Videos added to playlists","Videos removed from playlists",Subscribers,"Subscribers gained","Subscribers lost","Watch time (hours)"
"Doctoral Masterclass, Statistical Methodology and Theory : Professor Richard Samworth, Cambridge",H2QE5MgvNQI,173.52,11/07/2016,1315,76,17.3,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,1,0,47,0,0,0,0,0,0,0,0,1,2,1,0,0,0,22
"Fellow Short Talks: Professor Andrew Blake, Alan Turing Institute Director",GnLU1sZLQR4,26.95,12/02/2016,1298,381,3.4,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,3,3,0,2,2,0,22
"Fellow Short Talks: Professor Zoubin Ghahramani, University of Cambridge",O3dnYsGVgQU,27.97,11/30/2016,1291,217,5.9,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,11,12,1,1,1,0,22
"Tim Harris: ""Systems Challenges in Graph Analytics""",f1cNkUkOsto,63.43,04/18/2016,1264,226,5.6,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,1,0,155,0,0,0,0,0,0,1,0,26,26,0,2,2,0,21
"Dr Bernie Hogan, Oxford University",i__0cG4ijrI,70.03,10/24/2016,1233,501,2.5,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,155,0,1,23,4.35,155,1,1,0,0,0,0,2,0,9,10,1,0,0,0,21
"LIVE AT 11am GMT - Beating Humans in Cognition: A Case for Microsoft Academic",5_9zDe8twC8,82.97,04/24/2017,1184,73,16.2,19.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0,3,3,0,0,0,0,20
"Fellow Short Talks: Sir Alan Wilson (UCL, CEO The Alan Turing Institute)",PE1auw5oLG8,30.55,10/12/2016,1092,341,3.2,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,1,11,9.09,178,0,0,0,0,0,0,1,0,24,24,0,1,1,0,18
"Doctoral Masterclass: Tools for Big Data, Dr Richard Gibbens",AUEs7ppw2YQ,186.18,12/08/2016,1076,56,19.2,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18
"The Alan Turing Institute - Fellow Short Talk 6.10.16",Ff64XKl_kLA,92.37,10/06/2016,1060,45,23.6,25.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,1,1,0,0,0,0,1,0,0,1,1,0,0,0,18
"Celebrating getting started",Cy_2wZJrgfw,2.48,11/18/2016,1055,779,1.4,54.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,439,0.23,4,53,7.55,439,1,1,0,0,0,0,6,0,3,3,0,2,2,0,18
"Fellow Short Talks: Dr Peter Richtarik, Edinburgh University",RbkhWrTbrKs,30.98,10/19/2016,1051,264,4,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129,0.78,3,10,30,129,1,1,0,0,0,0,1,0,4,4,0,1,1,0,18
"Fellow Short Talks: Professor Chris Williams (University of Edinburgh)",xfR0DJilrFg,30.55,10/12/2016,1035,244,4.2,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,1,15,6.67,109,0,0,0,1,1,0,1,0,14,16,2,0,0,0,17
"Fellow Short Talks: Dr Taha Yasseri, Oxford University",0KYosqdv0uc,27.32,10/21/2016,1007,222,4.5,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,1,2,50,93,0,0,0,0,0,0,2,0,4,5,1,0,0,0,17
"Dr Vidit Nanda, University of Oxford",JqajfI4-WnM,19.45,03/22/2017,971,249,3.9,20.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,0,1,0,1,0,1,1,100,1,0,0,0,0,0,0,2,0,4,4,0,0,0,0,16
"Doctoral Masterclass: Social Data Science - Suzy Moat and Tobias Preis",7QwQgVJGFPg,140.68,12/08/2016,948,123,7.7,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,50,2,1,1,0,0,0,0,4,1,5,5,0,0,0,0,16
"LIVE:  The Alan Turing Institute - Fellow Short Talks 11.10.16",9JOPMu-ykfo,3.42,10/10/2016,919,88,10.4,305.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15
